Image_name,Quality_index,Image_Quality
349_Optic Disc Cube 200x2009-6-201712-12-44ODsn3817cubez.img.png,921.4749075892317,Good
349_Optic Disc Cube 200x2009-6-201712-13-37OSsn3816cubez.img.png,1197.5346829607724,Good
